,CellType,x_global,y_global
embryo1_Pos0_cell180_z2,Gut tube,1630.37608629818,1333.72125860872
embryo1_Pos0_cell181_z2,Gut tube,1630.85774526546,1340.91675827266
embryo1_Pos0_cell182_z2,Erythroid,1630.62837947153,1355.19723395007
embryo1_Pos0_cell183_z2,Mixed mesenchymal mesoderm,1631.02310234473,1359.65137887181
embryo1_Pos0_cell184_z2,Allantois,1630.9174299569,1357.32575936153
embryo1_Pos0_cell185_z2,Allantois,1630.79032443576,1358.04087131076
embryo1_Pos0_cell186_z2,Gut tube,1630.90010517462,1338.3916680712
embryo1_Pos0_cell187_z2,Gut tube,1630.87961425781,1334.23609375
embryo1_Pos0_cell188_z2,Gut tube,1630.983096231,1337.40967456715
embryo1_Pos0_cell189_z2,Erythroid,1631.82518991911,1353.66963027257
embryo1_Pos0_cell19_z2,Lateral plate mesoderm,1618.08912295387,1351.65666465154
embryo1_Pos0_cell190_z2,Erythroid,1631.06970274197,1352.3668373145
embryo1_Pos0_cell191_z2,Erythroid,1631.18753004808,1347.8239070012
embryo1_Pos0_cell193_z2,Gut tube,1630.88956124442,1339.91627720424
embryo1_Pos0_cell195_z2,Erythroid,1631.16458213005,1350.75013964464
embryo1_Pos0_cell196_z2,Gut tube,1631.04615799753,1335.12120939556
embryo1_Pos0_cell197_z2,Endothelium,1631.4300451944,1344.11108019925
embryo1_Pos0_cell198_z2,Lateral plate mesoderm,1631.090092454,1358.85972409828
embryo1_Pos0_cell199_z2,Gut tube,1631.38745117188,1336.69402141399
embryo1_Pos0_cell20_z2,Haematoendothelial progenitors,1618.25005396793,1356.32192074424
embryo1_Pos0_cell201_z2,Gut tube,1631.36891641422,1335.85739696269
embryo1_Pos0_cell203_z2,Gut tube,1631.75632751263,1339.51664748994
embryo1_Pos0_cell204_z2,Gut tube,1632.00790824142,1334.06946518842
embryo1_Pos0_cell205_z2,Endothelium,1632.06279523983,1349.20197526799
embryo1_Pos0_cell206_z2,Erythroid,1632.05307617188,1355.01166992187
embryo1_Pos0_cell207_z2,Endothelium,1632.15640380564,1358.37862314134
embryo1_Pos0_cell208_z2,Gut tube,1632.1413748995,1332.64871113412
embryo1_Pos0_cell209_z2,Gut tube,1632.34933817597,1340.3860342953
embryo1_Pos0_cell21_z2,Endothelium,1618.13735030626,1358.85135045298
embryo1_Pos0_cell212_z2,Erythroid,1632.41756467139,1351.51508168127
